Scaled_FoulsDrawnLeadingToShotAttempt,Scaled_DribblesWinningPerc,Scaled_CarriesThatReachesCloseToOpponentGoal(DistTravelled>10Yards),Scaled_TouchesInAtt1/3rd,Scaled_ShotCreatingActionsPer90Min,Scaled_NonPenaltyExpectedGoals,Scaled_SetPiecesPasses,Scaled_TacklesWon,Scaled_TouchesInDefensive1/3rd,Scaled_NonPenaltyGoals-NonPenaltyXG,Scaled_FoulsDrawn,Scaled_SucessfulTakeOns%,Scaled_TimesTackledByADefDuringTakeOn%,Scaled_Interceptions,Scaled_ShortPassesCompleted%,Scaled_InswingingCorners,Scaled_Clearances,Scaled_ThroughBalls,Scaled_TotalPassingDistance,Scaled_PassesIntoPenaltyArea,Scaled_TackleWon,Scaled_Shots,Scaled_ShortPassesCompleted,Scaled_TouchesInMid1/3rd,Scaled_ShotsAttemptLeadingToGoal,Scaled_TouchesInDefensivePenaltyArea,Scaled_SuccessfulTakeOnsLeadingToShotAttempt,Scaled_GoalCreationAccuracy,Scaled_Goals/Shot,Scaled_DistanceTravelledInCarries(Yards),Scaled_Goals,Scaled_TacklesinAtt3rd,Scaled_InGamePasses,Scaled_Switches,Scaled_PassesBlocked,Scaled_CarriesInFinalThird,Scaled_Goals-XG,Scaled_ShotsOnTarget%,Scaled_DistanceTravelledInCarries(Yards)TowardsOpponentGoal,Scaled_TacklesinMid3rd,Scaled_FoulsCommited,Scaled_Goals/ShotOnTarget,Scaled_AverageShotDistance,Scaled_Crosses,Scaled_TacklesAttempted,Scaled_CarriesInPenaltyArea,Scaled_MediumPassesCompleted,Scaled_AerialDuelWinningPercentage,Scaled_SetpiecesLeadingToGoal,Scaled_InPlayPassesThatLeadToShotAttempt,Scaled_AerialDuelWon,Scaled_OutswingingCorners,Scaled_Tackles+Interception,Scaled_LongPassesAttempted,Scaled_LongPassesCompleted%,Scaled_PassesCompleted,Scaled_SetpiecesLeadingToShotAttempt,Scaled_InPlayPassesLeadingToGoal,Scaled_CornersTaken,Scaled_TouchesInAttackingPenaltyArea,Scaled_TacklesinDef3rd,Scaled_NumberOfCarries,Scaled_BallsRecovered,Player,Club,Position,Cluster,Sum
0.157894737,0.39,0.32421875,0.665189873,0.046111111,0.074193548,0.138176638,0.395604396,0.304735115,0.377659574,0.467625899,0.486,0.4,0.277777778,0.948,0.008474576,0.247619048,0.404761905,0.84005332,0.517482517,0.395604396,0.303921569,1,0.998292933,0,0.082605776,0.058823529,0.004888889,0.06,0.863582444,0.090909091,0.2,0.925422974,0.252873563,0.277777778,0.579268293,0.380952381,0.29,0.742452116,0.314285714,0.405940594,0.22,0.489959839,0.043147208,0.296052632,0.022857143,0.819305474,0.55,0,0.8,0.15942029,0,0.343434343,0.274877651,0.789,0.92386148,0.025974026,0.75,0.011111111,0.062893082,0.206896552,0.923469388,0.903536977,Granit Xhaka,Leverkusen,MF,0,24.31497802
0.105263158,0.317,0.24609375,0.59556962,0.039777778,0.14516129,0.195156695,0.450549451,0.222222222,0.579787234,0.172661871,0.614,0.357,0.488888889,0.932,0.093220339,0.20952381,0.214285714,0.539783971,0.34965035,0.450549451,0.348039216,0.522652966,0.523386821,0,0.061114842,0.088235294,0.005888889,0.13,0.776459734,0.204545455,0.52,0.543633126,0.218390805,0.488888889,0.542682927,0.582010582,0.352,0.558597554,0.342857143,0.396039604,0.36,0.427710843,0.154822335,0.355263158,0.085714286,0.545615068,0.35,0.1,0.533333333,0.033816425,0.096385542,0.454545455,0.207177814,0.811,0.55455408,0.12987013,0.666666667,0.166666667,0.198113208,0.195402299,0.750637755,0.729903537,Vitinha,Paris S-G,MF,0,22.43076804
0,0.634,0.09375,0.067721519,0.012,0.135483871,0.121082621,0.714285714,0.54617909,0.329787234,0.107913669,0.643,0.286,0.7,0.934,0,0.719047619,0.095238095,0.520063764,0.062937063,0.714285714,0.137254902,0.269033162,0.442471833,0.142857143,0.194761585,0,0.001111111,0.14,0.58771583,0.090909091,0.24,0.454808549,0.310344828,0.7,0.103658537,0.333333333,0.286,0.555134726,0.314285714,0.257425743,0.5,0.220883534,0.010152284,0.690789474,0.005714286,0.627427899,0.641,0,0.143589744,0.285024155,0,0.823232323,0.255301794,0.716,0.445683112,0,0.083333333,0,0.106918239,0.885057471,0.531887755,0.578778135,Mats Hummels,Dortmund,DF,0,20.5486556
0.052631579,0.657,0.2578125,0.167088608,0.017,0.058064516,0.14957265,0.395604396,0.497421472,0.35106383,0.043165468,0.773,0.182,0.322222222,0.949,0,0.385714286,0.166666667,0.583718118,0.083916084,0.395604396,0.12254902,0.586641756,0.621031069,0,0.163868368,0,0.002333333,0.12,0.883089495,0.068181818,0.08,0.609973286,0.16091954,0.322222222,0.414634146,0.354497354,0.32,0.848825885,0.285714286,0.405940594,0.38,0.295180723,0.017766497,0.309210526,0.005714286,0.650382578,0.549,0,0.251282051,0.270531401,0,0.378787879,0.203099511,0.667,0.614326376,0.012987013,0.291666667,0,0.106918239,0.287356322,0.712691327,0.739549839,Edmond Tapsoba,Leverkusen,DF,0,19.6021402
0,0.409,0.0703125,0.115822785,0.008888889,0.077419355,0.076923077,0.186813187,0.520393812,0.425531915,0.043165468,0.545,0.364,0.4,0.97,0,0.59047619,0.023809524,0.616520998,0.027972028,0.186813187,0.171568627,0.660439047,0.68248549,0.142857143,0.202149093,0,0.001444444,0.17,0.742124687,0.136363636,0.12,0.648486198,0.091954023,0.4,0.195121951,0.428571429,0.343,0.675143383,0.2,0.425742574,0.5,0.232931727,0.012690355,0.190789474,0.005714286,0.718069453,0.701,0,0.128205128,0.396135266,0,0.297979798,0.132137031,0.815,0.666745731,0,0.166666667,0,0.150943396,0.137931034,0.691645408,0.662379421,Jonathan Tah,Leverkusen,DF,0,18.70327881
0.052631579,0.425,0.25390625,0.462658228,0.047888889,0.103225806,0.337606838,0.285714286,0.192686357,0.489361702,0.208633094,0.318,0.682,0.144444444,0.906,0.194915254,0.180952381,0.023809524,0.284012203,0.454545455,0.285714286,0.303921569,0.267164876,0.226015705,0.285714286,0.030221625,0.058823529,0.005777778,0.1,0.273164624,0.136363636,0.36,0.290293856,0.091954023,0.144444444,0.268292683,0.481481481,0.371,0.251379721,0.2,0.148514851,0.26,0.389558233,0.637055838,0.276315789,0.062857143,0.268981754,0.368,0.2,0.435897436,0.033816425,0.361445783,0.272727273,0.195758564,0.542,0.282258065,0.285714286,0.416666667,0.355555556,0.264150943,0.218390805,0.308992347,0.395498392,Federico Dimarco,Inter,DF,0,17.45987656
0.105263158,0.444,0.6171875,0.639873418,0.043555556,0.280645161,0.08974359,0.296703297,0.053914674,0.303191489,0.215827338,0.375,0.525,0.088888889,0.868,0.305084746,0.047619048,0.071428571,0.175626649,0.272727273,0.296703297,0.343137255,0.237272303,0.132468419,0.428571429,0.009402283,0.382352941,0.006,0.11,0.472518782,0.181818182,0.44,0.229964381,0.045977011,0.088888889,0.384146341,0.306878307,0.357,0.394437831,0.171428571,0.326732673,0.32,0.291164659,0.350253807,0.223684211,0.571428571,0.156562684,0.383,0.1,0.379487179,0.086956522,0,0.207070707,0.082381729,0.545,0.202324478,0.103896104,0.375,0.233333333,0.704402516,0.126436782,0.331313776,0.38585209,Gabriel Martinelli,Arsenal,FW,0,17.3245284
0.263157895,0.261,0.42578125,0.636075949,0.053555556,0.580645161,0.047008547,0.120879121,0.024847632,0.234042553,0.215827338,0.333,0.644,0.033333333,0.845,0,0.004761905,0.5,0.180615106,0.538461538,0.120879121,0.661764706,0.244745446,0.191532946,0.428571429,0.002686367,0.205882353,0.007444444,0.13,0.395610913,0.568181818,0.32,0.258459484,0.045977011,0.033333333,0.347560976,0.222222222,0.444,0.311762796,0.114285714,0.128712871,0.3,0.287148594,0.134517766,0.111842105,0.422857143,0.16656857,0.318,0,0.61025641,0.033816425,0,0.095959596,0.064437194,0.684,0.211337761,0.025974026,0.666666667,0,0.896226415,0.011494253,0.367346939,0.311897106,Mohamed Salah,Liverpool,FW,0,16.84595381
0.052631579,0.551,0.14453125,0.228481013,0.021333333,0.038709677,0.138176638,0.56043956,0.246132208,0.329787234,0.115107914,0.667,0.25,0.422222222,0.941,0,0.252380952,0.023809524,0.347611588,0.104895105,0.56043956,0.068627451,0.443250817,0.445203141,0.142857143,0.054398925,0.029411765,0.001888889,0.07,0.363516541,0.022727273,0.2,0.39826358,0.045977011,0.422222222,0.170731707,0.333333333,0.286,0.273888107,0.457142857,0.465346535,0.25,0.323293173,0.02284264,0.513157895,0.028571429,0.384343732,0.426,0,0.256410256,0.096618357,0,0.575757576,0.070146819,0.581,0.405597723,0.025974026,0.166666667,0,0.103773585,0.471264368,0.375318878,0.440514469,Remo Freuler,Bologna,MF,0,16.20772825
0,0.684,0.1015625,0.080379747,0.008666667,0.058064516,0.108262108,0.175824176,0.512423816,0.404255319,0.237410072,0.75,0.25,0.455555556,0.92,0,0.438095238,0,0.466771108,0.041958042,0.175824176,0.078431373,0.327884166,0.376579037,0,0.170584285,0,0.000666667,0.19,0.436602083,0.068181818,0.04,0.446794301,0.149425287,0.455555556,0.079268293,0.407407407,0.375,0.38707932,0.085714286,0.257425743,0.5,0.214859438,0.038071066,0.164473684,0,0.582695703,0.661,0,0.107692308,0.396135266,0,0.313131313,0.169657423,0.736,0.444971537,0,0.083333333,0,0.097484277,0.206896552,0.440688776,0.408360129,Francesco Acerbi,Inter,DF,0,15.76710346
